Name,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
Kendrick Bourne,WR,73.25,203,4.68,9,34,125,4.21,6.73
Josh Boutte,OG,76.13,351,5.27,28,27,103,4.98,8.11
Tashawn Bower,DE,76.75,250,4.82,20,31.5,121,4.38,7.2
Tyus Bowser,LB,74.63,247,4.65,21,37.5,127,4.29,6.75
Paul Boyette,DT,73.88,310,5.38,29,26.5,103,5.09,7.88
Ben Braden,OG,78.25,329,5.04,25,28,102,4.9,7.85
Bam Bradley,OLB,71.63,230,4.54,18,35,122,4.73,7.28
Dylan Bradley,DT,72.63,286,5,28,32,102,4.63,7.76
Roman Braglio,DE,74.88,263,4.9,21,32.5,111,4.34,7.03
Caleb Brantley,DT,74.63,307,5.14,21,27,105,4.5,7.66
Billy Brown,WR,75.38,254,4.7,23,29,118,4.14,6.9
Blair Brown,LB,71.5,238,4.65,22,37,124,,6.92
Christian Brown,DT,74.13,303,5.39,34,26,101,4.81,8.02
DeAngelo Brown,DT,72.38,312,5.59,36,29.5,100,4.84,7.78
Fadol Brown,DE,76.13,273,4.94,19,34,115,4.57,7.24
Jayon Brown,LB,71.75,231,4.7,17,31.5,120,4.53,7.28
Keith Brown,ILB,72.5,246,4.88,25,29.5,115,4.65,7.53
Noah Brown,WR,74,222,4.56,19,,,4.33,7.07
Pharaoh Brown,TE,77.63,255,4.83,24,34,103,4.62,7.24
Richie Brown,OLB,73.75,237,4.63,18,37,116,4.26,6.75
Daniel Brunskill,OT,77.13,273,5.2,17,28,106,4.84,7.9
Collin Buchanan,OL,76.63,316,,23,25,97,4.75,
Riley Bullough,LB,73.63,226,4.73,20,31.5,116,4.38,7
Harrison Butker,K,75.63,199,,,,,,
Adam Butler,DT,75.88,293,5.23,23,28.5,101,4.9,7.51
Jake Butt,TE,77.13,246,,,,,,
Hatari Byrd,SS,72.38,207,4.66,19,35,122,4.28,7.15
Austin Calitro,ILB,72.5,239,4.67,24,34,111,4.31,6.96
KD Cannon,WR,71.13,182,4.41,13,37,119,4.2,7.1
Jason Carr,DT,77.25,302,5.33,12,23.5,99,5.07,8.19
Josh Carraway,DE,75,242,4.74,25,29.5,120,4.42,7.2
Jordan Carrell,DT,74.13,290,4.98,20,31.5,107,4.5,7.9
Christopher Carson,RB,72.25,218,4.58,23,37,130,4.28,7.53
Cethan Carter,TE,74.75,241,4.68,19,,,4.47,
Jamal Carter,SS,72.63,218,4.64,19,35,122,4.28,7.17
Chris Casher,DE,75.88,264,4.88,22,30.5,106,4.6,7.7
Taco Charlton,DE,77.63,277,4.92,25,33,116,,7.17
Jehu Chesson,WR,74.75,204,4.47,10,35.5,132,4.09,6.7
Devin Church,RB,67,198,4.55,18,35,115,4.17,6.6
Chuck Clark,DB,71.63,208,4.54,16,34,122,4.07,6.85
Jemar Clark,OT,77.25,300,,28,25,92,,
Jeremy Clark,CB,75.13,220,,20,,,4.5,
Jamaal Clayborn,C,75.75,316,5.64,15,25.5,98,5.01,8
Corey Clement,RB,70.25,220,4.68,19,28.5,115,4.53,6.71
Chunky Clements,DT,74.13,301,,23,,,4.96,
Tarik Cohen,RB,66.38,179,4.42,11,31.5,118,4.27,7.22
Adrian Colbert,FS,72.5,200,4.49,10,33.5,117,4.31,7.24
Dylan Cole,OLB,72.5,239,4.54,32,39,125,4.19,6.82
Stacy Coley,WR,72.13,195,4.45,10,34,122,4.39,7.19
Aviante Collins,OT,76.25,295,4.81,34,24,102,4.73,7.85
Gareon Conley,CB,72.25,195,4.44,11,37,129,4.18,6.68
James Conner,RB,73.25,233,4.65,20,29,113,4.4,7.14
Dalvin Cook,RB,71.13,210,4.49,22,30.5,116,4.53,7.27
Ethan Cooper,OG,74,322,5.36,26,24.5,99,4.88,8.02
Bryan Cox,DE,74.63,265,4.89,16,26.5,109,,
Demetrious Cox,FS,71.88,200,4.55,26,34,124,4.33,7.02
Jason Croom,TE,76.25,252,4.69,23,34,120,4.4,7.33
Lucas Crowley,C,74.25,294,5.38,30,26,98,4.87,7.96
Sean Culkin,TE,77.13,255,4.71,21,35.5,120,4.46,7.2
Zach Cunningham,LB,75.25,234,4.67,15,35,125,,7.03
Aaron Curry,DT,73.5,280,4.93,26,32,108,4.82,7.69
Jeremy Cutrer,CB,73.25,170,4.52,,32,122,4.26,7.26
Darrell Daniels,TE,75.13,247,4.55,17,32,116,4.47,7.09
Reggie Daniels,SS,72.38,201,4.59,13,35,122,4.2,6.97
Amara Darboh,WR,73.75,214,4.45,17,36,124,4.26,6.81
Julie'n Davenport,OT,78.75,318,5.45,18,27,106,4.69,7.57
Corey Davis,WR,74.75,209,,,,,4.28,
Jarrad Davis,LB,73.25,238,4.62,23,38.5,129,4.39,7.39
Justin Davis,RB,72.63,208,,21,30,115,4.32,6.75
Keionta Davis,DE,75,271,4.72,30,37.5,121,4.46,7.64
Kevin Davis,LB,73.75,235,4.91,11,30.5,110,4.5,7.18
Marcus Davis,WR,69,179,4.53,,31.5,114,4.46,7.49
Matt Davis,K,71.88,197,,,,,,
Reggie Davis,WR,71.63,158,4.36,4,32,115,4.12,6.94
Reginald Davis,WR,71.75,182,4.44,9,35,124,4.3,6.76
Robert Davis,WR,74.75,219,4.44,19,41,136,4.28,6.82
Dion Dawkins,OG,75.88,314,5.11,26,26,106,4.78,7.3
Matt Dayes,RB,68.63,205,4.66,18,28,109,4.51,7.26
Treston Decoud,CB,73.75,206,4.62,11,31,116,4.53,7.2
J.J. Dielman,C,76.75,309,,27,,,4.84,
Hunter Dimick,DE,75,268,4.75,38,28,109,4.13,7.15
Standish Dobard,TE,75.38,254,4.73,24,30.5,114,4.68,7.78
Joshua Dobbs,QB,75.25,216,4.64,,33,122,4.31,6.75
Dylan Donahue,DL,74.63,248,4.75,26,29.5,116,4.23,7.02
Rasul Douglas,CB,74,209,4.59,16,33.5,120,4.26,6.97
Jela Duncan,RB,68.88,214,,24,,,,
Jessamen Dunker,OG,76.13,318,4.98,23,28.5,108,4.13,7.88
Brionte Dunn,RB,72,214,4.49,23,38,126,4.26,6.71
Malachi Dupre,WR,74.13,196,4.52,11,39.5,135,4.26,7.19
Travin Dural,WR,73,202,4.57,,30.5,116,4.55,7.29
Samson Ebukam,OLB,73.88,240,4.5,24,39,130,4.34,7.07
Trey Edmunds,RB,72.63,223,4.48,,35.5,122,,7.25
Aiavion Edwards,ILB,72,224,4.68,21,34.5,122,4.52,7.46
Andrew Eide,OT,76.63,302,5.2,33,30.5,113,4.7,7.93
Ken Ekanem,DL,74.63,257,4.88,20,30.5,115,4.4,7.38
Corn Elder,CB,70.13,183,4.55,,35,116,,
Jake Eldrenkamp,OG,76.5,302,5.39,,26,106,4.71,7.71
Pat Elflein,C,74.75,303,5.32,22,23.5,99,4.71,7.94
Ukeme Eligwe,OLB,73.63,234,4.58,25,34,123,4.4,7.16
Jake Elliott,K,69.25,167,4.79,,,,,
Brooks Ellis,ILB,73.63,240,4.79,18,29.5,114,4.87,6.79
Jermaine Eluemunor,OL,75.63,332,5.22,34,28.5,103,4.9,7.74
Darius English,OLB,77.38,245,4.84,19,35,129,4.94,7.36
Evan Engram,TE,75.13,234,4.42,19,36,125,4.23,6.92
Amba Etta-Tawo,WR,73.25,208,4.49,14,31,126,4.32,6.95
Dane Evans,QB,72.38,210,5.05,,31,115,4.41,7.22
Jerod Evans,QB,74.63,232,4.8,,26.5,112,4.41,
Jordan Evans,OLB,74.88,232,4.51,19,38.5,119,4.18,7.01
Justin Evans,SS,72,199,4.6,14,41.5,129,,
Gerald Everett,TE,74.75,239,4.62,22,37.5,126,4.33,6.99
Dan Feeney,OG,76,305,5.24,26,28,101,4.68,7.52
Justin Ferguson,FS,72.75,202,,12,,,,
Devonte' Fields,OLB,74.38,236,4.72,,34,124,4.88,7.4
Maurice Fleming,CB,70.75,207,4.52,19,32,115,4.14,6.87
Tarean Folston,RB,69.25,214,4.76,20,33.5,115,4.2,6.93
Isaiah Ford,WR,73.25,194,4.61,14,35.5,127,4.34,6.94
Johnathan Ford,FS,71.13,205,4.4,20,,,4.21,
D'Onta Foreman,RB,72.25,233,4.46,18,33,120,4.28,7.21
Reuben Foster,LB,72.25,229,,,,,,
Leonard Fournette,RB,72.13,240,4.51,,28.5,,,
King Frazier,RB,71,213,4.67,22,32,112,4.33,7.13
Billy Freeman,TE,74.63,236,4.74,22,30.5,112,4.62,7.18
Kyle Fuller,C,76.75,307,5.24,23,26,96,4.84,7.71
Ahmad Fulwood,WR,76.13,202,4.51,,34.5,124,4.38,7.29
Brian Gaia,C,74.38,292,5.17,32,28,105,4.7,7.82
Wayne Gallman,RB,72.25,215,4.6,21,29.5,120,4.28,7.17
Patrick Gamble,DT,76.38,277,,,,,,
Antonio Garcia,OT,78.38,302,5.15,24,31,108,4.94,7.98
Myles Garrett,DE,76.25,272,4.64,33,41,128,4.2,
Ben Gedeon,ILB,73.63,244,4.75,27,34.5,119,4.39,6.98
Avery Gennesy,OT,75,318,5.35,24,20,91,5,8.08
Nate Gerry,SS,73.88,218,4.58,17,30.5,122,4.37,7.14
Shelton Gibson,WR,71.13,191,4.5,8,32,118,4.2,6.83
Jimmie Gilbert,OLB,76.13,231,4.68,12,37,120,4.57,
Ryan Glasgow,DT,74.88,302,5.13,20,27.5,105,4.62,7.55
Davon Godchaux,DT,75.13,310,5.27,18,29.5,104,4.43,7.82
Matthew Godin,DT,77.5,295,,26,27,108,4.81,7.53
Chris Godwin,WR,73,209,4.42,19,36,125,4,7.01
Randall Goforth,FS,69.75,186,4.55,9,27,118,4.35,7.13
Isaiah Golden,DT,74.25,326,5.27,18,26.5,102,4.92,
Kenny Golladay,WR,75.75,218,4.5,18,35.5,120,4.15,7
Zane Gonzalez,K,72.25,202,,,,,,
Evan Goodman,OG,75.25,306,5.27,22,24.5,100,4.81,7.97
Eddie Gordon,C,73,310,5.07,24,29.5,98,4.71,7.56
Jermaine Grace,OLB,72.13,223,4.57,21,33,120,4.37,7.37
Deante Gray,WR,67.88,184,4.43,12,32.5,115,4.28,7.01
Derrick Green,RB,70.25,220,4.76,15,29.5,111,4.4,7.12
Worth Gregory,P,75.13,204,,,,,,
Trey Griffey,WR,74.13,209,4.59,17,32.5,118,4.5,7.32
Derrick Griffin,TE,78.25,248,,11,31,119,4.49,
Shaquill Griffin,DB,71.75,194,4.38,17,38.5,132,4.14,6.87
Adam Griffith,K,69.88,183,,,,,,
Jay Guillermo,C,75,298,5.48,33,28.5,105,4.91,7.78
Nate Hairston,CB,71.88,196,4.52,14,35.5,118,4.45,6.85
Daeshon Hall,DE,77.38,266,4.76,18,36,123,4.63,7.03
Darius Hamilton,DT,73.75,274,,,,,,
Chad Hansen,WR,73.75,202,4.53,11,35,119,4.13,6.74
Justin Hardee,WR,72.63,197,4.36,17,34.5,129,4.26,7.28
Sean Harlow,OG,76.13,303,5.15,26,30.5,105,4.81,8.16
Charles Harris,DE,74.63,253,4.82,21,32,109,4.56,7.47
Connor Harris,ILB,71,242,4.73,18,33,114,4.18,7.13
Nigel Harris,OLB,73.13,220,4.57,15,36,114,4.52,7.45
Josh Harvey-Clemons,FS,76.13,217,4.76,12,31.5,121,4.59,7.09
Keon Hatcher,WR,73.25,212,4.64,16,,,4.28,
Carlos Henderson,WR,70.75,199,4.46,13,36,131,4.35,7.18
DeAngelo Henderson,RB,67.5,208,4.48,20,34,120,4.57,7.26
Trey Hendrickson,DE,75.88,266,4.65,18,33.5,122,4.4,7.03
Jordan Herdman,LB,70.75,238,,,,,,
Treyvon Hester,DT,74.13,300,,,,,,
Darian Hicks,CB,70.38,188,4.59,19,34.5,119,4.44,7.02
Cole Hikutini,TE,76.13,247,4.85,20,34.5,120,4.34,7.22
Brian Hill,RB,72.63,219,4.54,15,34,125,4.32,7.03
Delano Hill,SS,72.63,216,4.47,17,33.5,115,4.27,6.96
Perry Hills,QB,74.25,209,4.69,,32,113,4.38,7.09
Will Hines,CB,73,190,4.61,10,38,124,4.38,7.37
Bucky Hodges,TE,78.13,257,4.57,18,39,134,4.45,
Krishawn Hogan,WR,74.63,222,4.56,13,36.5,124,4.21,6.74
Colin Holba,LS,76.38,248,5.19,,28,115,,
Will Holden,OT,79.38,311,5.45,23,28,111,4.72,7.71
Deon Hollins,OLB,72,234,4.63,14,29.5,116,4.65,7.38
Mack Hollins,WR,75.75,221,4.53,,,,,
T.J. Holloman,ILB,74.5,232,4.9,23,27.5,110,4.87,7.65
Brandon Holloway,WR,67,160,4.34,,38.5,122,4.09,6.87
Justin Holman,QB,75.88,215,4.71,,35.5,110,4.21,7.19
Joshua Holsey,CB,69.75,190,4.48,15,35,118,4.4,6.99
Elijah Hood,RB,71.75,232,4.57,18,31.5,113,4.34,7.12
Malik Hooker,FS,73.38,206,,,,,,
Bart Houston,QB,75,234,5.12,,29,106,4.44,7
Bug Howard,WR,75.63,221,4.58,15,37.5,119,4.14,6.95
Darrien Howard,DT,72.13,299,4.96,26,29,112,4.64,7.21
O.J. Howard,TE,77.63,251,4.51,22,30,121,4.16,6.85
Marlon Humphrey,CB,72.25,197,4.41,10,,125,4.28,6.75
Cameron Hunt,OG,75.75,307,5.47,24,23.5,94,4.7,7.96
Hayden Hunt,P,71.75,212,,,,,,
Kareem Hunt,RB,70.5,216,4.62,18,36.5,119,4.53,7.22
Danny Isidora,OG,75.25,306,5.03,26,29,94,4.9,8.13
Joey Ivie,DT,75.13,298,5.14,23,29.5,105,4.72,8.09
Adoree Jackson,CB,69.75,186,4.42,,36,122,,6.63
Eddie Jackson,FS,72,201,,10,,,4.2,
Chanceller James,SS,74.38,215,4.61,21,31,121,4.27,7.07
Nick James,DT,76.38,328,5.06,29,32.5,101,4.65,7.62
Tyrique Jarrett,DT,74,340,5.45,22,22.5,98,5.1,
Blake Jarwin,TE,77.13,248,4.73,21,34.5,121,4.33,7.44
A.J. Jefferson,DE,74.5,280,,,,,,
Rickey Jefferson,FS,70.75,208,4.59,17,35.5,120,4.33,6.96
Rayshawn Jenkins,FS,73.25,214,4.51,19,37,127,4.2,7.06
Lorenzo Jerome,SS,70.5,204,4.7,11,,,4.68,7.63
Denzel Johnson,SS,72.38,198,4.67,17,35.5,121,4.58,7.15
Dorian Johnson,OG,76.63,300,5.27,21,30,114,5.09,8.39
Jadar Johnson,FS,72.5,206,4.6,19,33,119,4.2,6.9
Jaleel Johnson,DT,74.88,316,5.38,19,28,100,4.75,7.64
Jeremy Johnson,QB,76.25,232,4.75,,31.5,114,4.46,7.07
John Johnson,FS,72.63,208,4.61,14,37,119,4.18,6.72
Jordan Johnson,RB,72.75,223,4.65,19,35.5,121,4.59,7.44
Roderick Johnson,OT,78.63,298,4.9,21,29.5,103,5.17,7.92
Trevon Johnson,ILB,72.5,227,4.55,19,30,118,4.6,7.4
Cameron Johnston,P,71.25,194,4.92,,,,,
Aaron Jones,RB,69.13,208,4.56,16,37.5,127,4.2,6.82
D.J. Jones,DT,72.63,319,5.04,25,28.5,108,4.66,7.73
David Jones,FS,73.13,205,4.43,12,34,129,4.32,7.31
Derrick Jones,CB,73.88,189,4.48,9,41,140,4.41,7.03
DeShawn Jones,RB,71.25,203,,17,,,,
Jarron Jones,DT,77.63,316,5.33,22,20.5,102,4.53,8.01
Joseph Jones,OLB,71.75,231,4.5,18,35,123,4.22,6.83
Josh Jones,FS,73.25,220,4.41,20,37.5,132,4.27,7.05
JT Jones,DE,73.13,249,,16,39.5,128,4.36,7.1
Nazair Jones,DT,76.63,304,5.11,18,24.5,101,4.64,7.93
Sidney Jones,CB,71.75,186,4.47,12,33.5,123,4.28,7.02
Zay Jones,WR,73.88,201,4.45,15,36.5,133,4.01,6.79
Dieugot Joseph,OT,77.75,293,5.21,21,31,102,4.87,7.83
Cameron Judge,OLB,72.88,220,4.55,19,36.5,131,4.19,6.81
Brad Kaaya,QB,75.75,214,,,,,,
Kyle Kalis,OG,76.25,308,5.52,30,24.5,99,4.62,7.84
Francis Kallon,DT,77.38,295,5,21,31,108,4.53,7.13
Alvin Kamara,RB,69.75,214,4.56,15,39.5,131,4.56,7.1
Damontae Kazee,CB,70.25,184,4.54,11,34,124,4.27,7.11
Chad Kelly,QB,73.75,224,,,,,4.08,
Keith Kelsey,ILB,72.25,233,4.92,23,29.5,111,4.62,
Jojo Kemp,RB,69.5,204,4.67,23,36.5,121,4.53,7.48
Gunner Kiel,QB,75.25,211,4.84,,35,117,4.53,7.47
Tim Kimbrough,ILB,71.38,234,,,,,,
Desmond King,CB,70.25,201,4.6,14,34,117,4.18,6.67
Jason King,OG,75.5,303,5.3,35,31,107,4.72,7.75
Kevin King,CB,75.25,200,4.43,11,39.5,,3.89,6.56
George Kittle,TE,75.75,247,4.52,18,35,132,4.59,7
DeShone Kizer,QB,76.13,233,4.83,,30.5,107,4.53,7.4
Trevor Knight,QB,72.75,219,4.54,,35.5,124,4.14,7.04
Alex Kozan,OG,75.5,309,5.53,18,31,99,4.83,7.84
Tanoh Kpassagnon,DE,78.88,289,4.83,23,30,128,4.69,7.46
Brandon Kublanow,C,74,300,5.27,31,29,100,4.69,8.01
Cooper Kupp,WR,73.75,204,4.62,,31,116,4.08,6.75
Forrest Lamp,OG,75.75,309,5,34,27.5,111,4.62,7.55
Ashton Lampkin,CB,72,189,4.52,19,34.5,120,4.21,7.26
Jerome Lane,WR,74.13,226,4.6,16,35,125,4.12,6.87
Harvey Langi,DE,73.63,251,4.66,23,33,118,4.45,7
Brendan Langley,CB,72.25,201,4.43,22,35.5,123,4.21,7.06
Marshon Lattimore,CB,72,193,4.36,,38.5,132,4.12,
Darrin Laufasa,FB,72.63,235,4.81,19,33.5,119,4.53,7.3
John Law,ILB,71.38,232,4.75,19,35,119,4.17,7.03
Des Lawrence,CB,71.75,187,4.55,20,32,114,4.23,6.88
Carl Lawson,DE,73.63,261,4.67,35,33,114,4.62,7.46
Javarius Leamon,OL,78.75,332,,22,23.5,91,5.12,8.28
Jeremiah Ledbetter,DE,74.88,280,4.84,29,32.5,113,4.47,7.55
Cameron Lee,OG,76.63,312,5.44,18,25.5,100,4.75,8.02
Elijah Lee,LB,74.5,228,4.72,18,38,122,4.3,7.05
Marquel Lee,LB,75.25,240,4.78,25,31,118,4.33,7.28
Jordan Leggett,TE,77,258,4.71,18,33,114,4.33,7.12
Mitch Leidner,QB,75.38,226,4.93,,34.5,123,4.25,6.96
Corey Levin,OL,75.75,307,5.16,26,26.5,106,4.73,7.55
Jourdan Lewis,CB,70,188,4.54,15,34.5,121,4.38,6.88
LaTroy Lewis,DE,75.25,254,4.85,21,32,117,4.38,7.48
Jeremy Liggins,OG,75.13,315,4.92,23,31,112,4.76,7.94
William Likely,FS,67.13,180,,15,,,,
Prescott Line,FB,71.38,246,4.96,39,29,105,4.32,7.18
Sefo Liufau,QB,75.38,232,5.08,,27,105,4.45,7.32
Abner Logan,OLB,73.63,243,4.76,29,35.5,120,4.56,7.13
T.J. Logan,RB,69.13,196,4.37,17,33.5,121,4.43,6.61
Shalom Luani,SS,71.38,202,4.55,12,31,116,4.21,6.87
Keevan Lucas,WR,69.13,192,4.55,11,32.5,119,4.43,7.23
Cole Luke,CB,71.25,198,4.63,11,35.5,113,4.16,6.82
Wes Lunt,QB,76.25,222,4.87,,29.5,109,4.44,7.28
Marlon Mack,RB,70.75,213,4.5,15,35.5,125,4.22,
Erik Magnuson,OG,76.75,305,5.41,21,25,97,4.94,8.07
Sean Maguire,QB,73.88,219,5.24,,24,99,4.66,7.53
Patrick Mahomes,QB,74.13,225,4.8,,30,114,4.08,6.88
Josh Malone,WR,74.63,208,4.4,10,30.5,121,4.19,7.05
Damien Mama,OG,75.25,334,5.84,,24.5,96,5.38,8.51
Jamal Marcus,OLB,73.75,240,4.77,17,33.5,124,4.36,7.26
Gabe Marks,WR,70.75,189,4.56,11,29.5,117,4.2,7.01
ITavius Mathers,RB,70.88,203,4.46,21,32,122,4.36,7.17
Joe Mathis,DE,74.13,266,,24,,,,
Quincy Mauger,SS,71.63,208,4.6,20,37.5,121,4.18,6.88
Arthur Maulet,CB,69.75,189,4.62,18,34.5,120,4.22,7.12
Marcus Maye,FS,71.63,210,4.47,,33.5,118,4.12,7.07
Devante Mays,RB,70.38,230,4.52,22,40.5,129,4.53,7.43
Christian McCaffrey,RB,71.25,202,4.48,10,37.5,121,4.22,6.57
Conor McDermott,OT,80.13,307,5.18,22,28.5,105,4.58,7.52
Malik McDowell,DT,77.75,295,4.85,23,28.5,112,,7.69
Torren McGaster,CB,71.13,205,4.6,12,30,114,4.33,7.06
Elijah McGuire,RB,69.75,214,4.53,15,36,120,4.56,7.26
Isaiah McKenzie,WR,67.25,173,4.42,11,36,123,4.15,6.64
Takkarist McKinley,DE,74.13,250,4.59,24,33,122,4.32,7.48
Jonathan McLaughlin,OG,76.13,302,5.54,,24,93,4.95,8.03
Raekwon McMillan,LB,73.75,240,4.61,23,33,121,,7.15
Taylor McNamara,TE,76.38,252,4.78,14,32.5,117,4.36,7.07
Jeremy McNichols,RB,68.63,214,4.49,,35.5,121,4.28,6.93
Leon McQuay,FS,73.13,197,,12,33,122,,
Marcus McWilson,SS,72,198,4.57,19,34,118,4.33,7.23
Obi Melifonwu,FS,76,224,4.4,17,44,141,4.3,7.07
Matt Milano,OLB,72.25,223,4.67,24,35,126,4.38,
Kwayde Miller,OT,79.25,303,5.24,21,32,107,4.63,7.5
Joe Mixon,RB,72.75,226,4.45,21,35,118,4.27,7.1
Taquan Mizzell,RB,69.75,197,4.55,15,34,114,4.25,7
Derrick Moncrief,SS,74,215,4.55,16,36.5,126,4.52,7.25
Alonzo Moore,WR,72.88,199,4.47,,32,119,4.17,6.79
David Moore,WR,72.63,219,4.43,26,36.5,124,4.38,6.98
Jordan Moore,OLB,73.75,227,4.62,19,34,121,4.57,7.59
Kailo Moore,CB,71,196,4.47,5,39.5,126,4.46,7.37
Fabian Moreau,CB,71.88,206,4.35,,38,136,4.12,6.94
Drew Morgan,WR,71.75,190,4.74,10,30,112,4.12,6.85
Jordan Morgan,OG,74.75,309,5.36,21,27,102,4.73,8.13
Avery Moss,DE,75.13,264,4.79,14,32.5,114,4.62,7.25
Taylor Moton,OG,77.38,319,5.18,23,30.5,109,4.58,7.73
Al-Quadin Muhammad,DE,75.25,253,4.88,22,30.5,117,4.37,7.25
Khalfani Muhammad,RB,67.13,170,4.38,11,38.5,126,4.27,6.74
Nick Mullens,QB,72.88,214,4.9,,31,104,4.47,7.4
Chris Muller,OG,77.88,315,5.35,34,29,110,4.86,7.72
Johnny Mundt,TE,76.25,243,4.74,21,30,113,4.24,7.21
Najee Murray,CB,68.63,182,4.54,15,34,122,4.05,6.83
Levon Myers,OT,76.75,309,5.41,24,26.5,102,5.06,7.52
Jalen Myrick,CB,69.63,200,4.28,13,37.5,124,4.22,7.06
Kai Nacua,FS,72.75,205,4.49,15,39,127,4.14,6.87
Davonte Neal,CB,69.13,180,4.7,9,32,113,4.28,7.09
Lewis Neal,DE,72.5,261,4.75,23,31,117,4.44,7.54
T.J. Neal,ILB,72,236,4.79,19,31,108,4.41,7.63
Derrick Nelson,C,74.88,298,5.44,26,28,109,4.73,7.75
Philip Nelson,QB,73.38,203,4.8,,35.5,115,4.42,7.08
Terrell Newby,RB,69.38,204,4.53,,35,113,4.22,6.87
Donavin Newsom,OLB,73.38,237,4.54,22,36,118,4.37,7.1
Montae Nicholson,SS,73.63,212,4.42,,35,125,4.19,
Hardy Nickerson,LB,71.75,232,4.78,18,33,116,4.21,7.3
David Njoku,TE,75.75,246,4.64,21,37.5,133,4.34,6.97
Speedy Noil,WR,71.13,199,4.45,18,43.5,133,,
Bradley Northnagel,LS,74.13,243,5.3,13,25.5,99,4.33,7.34
Noble Nwachukwu,DE,73,268,4.83,27,30.5,110,4.37,7.33
Danny Nwosu,FB,74.88,245,4.82,18,33,114,4.61,7.59
Pat OConnor,DE,76.25,276,4.84,17,31,114,4.36,7.34
Ifeadi Odenigbo,DL,75.13,258,4.72,25,31.5,128,,7.26
Dare Ogunbowale,RB,70.75,213,4.65,14,35,120,4.34,6.99
Larry Ogunjobi,DT,74.63,305,4.97,26,32,116,4.72,7.55
Marcus Oliver,ILB,72.63,240,4.67,23,34,114,4.33,7.09
James Onwualu,OLB,72.75,228,4.76,24,36,119,4.23,7.25
Tyler Orlosky,C,75.13,298,5.39,24,26.5,102,3.89,8
Scott Orndoff,TE,76.75,253,4.84,17,27,112,4.45,7.37
Francis Owusu,WR,74.5,221,4.37,12,39,127,4.13,7.07
Evan Panfil,DE,76.38,280,5.02,23,28.5,109,4.65,7.31
Zach Pascal,WR,73.75,219,4.55,14,36,126,4.29,7.11
Aarion Penton,CB,69.63,198,4.61,13,32.5,122,4.6,7.19
Jabrill Peppers,LB,71.38,213,4.46,19,35.5,128,,
Samaje Perine,RB,70.63,233,4.65,30,33,116,4.37,7.26
Kent Perkins,OT,76.63,320,5.28,35,30.5,106,4.69,8.06
Nathan Peterman,QB,74.63,226,4.82,,31,110,4.31,7.14
Otha Peters,OLB,72.38,238,4.78,23,31,110,4.26,7.09
Caleb Peterson,OG,75.88,300,,29,22,97,4.84,8.08
Carroll Phillips,DE,75.25,242,4.64,23,30,123,4.41,7.06
Antonio Pipkin,QB,72.88,225,4.66,,36.5,116,4.25,7.07
Ondre Pipkins,DT,74.63,307,5.16,22,27.5,99,5.03,8.17
Jonah Pirsig,OT,79.88,314,5.38,20,27,102,4.87,7.87
SeVon Pittman,DE,75.25,268,4.89,22,28.5,111,4.7,7.41
Hayden Plinke,TE,75.75,264,4.97,18,28,109,4.59,7.55
Ethan Pocic,C,78,310,5.15,26,27,107,4.81,7.89
Gimel President,DE,75,253,4.68,24,31,119,4.4,7.26
Ejuan Price,DE,70.88,241,4.84,20,31.5,117,4.31,6.98
Josiah Price,TE,75.88,249,4.89,25,33.5,115,4.51,7.32
Donnel Pumphrey,RB,68.25,176,4.48,5,33.5,117,4.46,
Bobby Puyol,K,69.5,180,,,,,,
Greg Pyke,OG,76.63,330,5.28,24,20,102,4.84,7.91
Elijah Qualls,DT,73.13,313,5.13,33,31.5,105,4.57,7.65
James Quick,WR,72.25,186,4.6,11,31,115,4.39,7
Brandon Radcliff,RB,69,206,4.55,24,29.5,117,4.38,7.68
Johnny Ragin,OLB,73.63,229,4.76,17,31,118,4.07,7.09
Ryan Ramczyk,OT,77.75,310,,25,,,4.82,
Michael Rector,WR,72.13,193,4.42,13,36.5,129,4.19,6.77
Haason Reddick,DE,73.25,237,4.52,24,36.5,133,5,7.01
Devine Redding,RB,68.25,205,4.76,16,30.5,116,4.46,7.18
Jalen Reeves-Maybin,LB,72.25,230,4.68,,35.5,117,4.38,7.35
Austin Rehkow,P,74.63,214,,,,,4.47,
Ryan Reid,CB,68.63,186,4.51,12,35.5,123,4.24,7.09
Josh Reynolds,WR,74.75,194,4.52,,37,124,4.13,6.83
Duke Riley,OLB,72.25,232,4.58,18,34.5,122,,6.89
Marcus Rios,CB,71.25,192,4.55,18,30,124,4.22,7.25
Derek Rivers,DE,76.13,248,4.61,30,35,123,,6.94
Michael Roberts,TE,76.38,270,4.86,21,30,110,4.51,7.05
Jalen Robinette,WR,74.75,220,4.62,13,31.5,120,4.46,6.77
Cam Robinson,OT,77.75,322,5.15,,26,106,4.82,7.81
Ezra Robinson,CB,71,189,4.47,13,34,128,4.44,7.43
Isaac Rochell,DT,76.38,280,4.89,25,31.5,114,,
Darreus Rogers,WR,72.63,216,4.9,8,26.5,112,4.54,7.22
DeJuan Rogers,SS,71.63,194,4.7,16,30.5,115,4.4,6.89
Sam Rogers,FB,70.25,231,4.93,19,32,114,4.34,7.27
Jordan Roos,OG,75.63,302,5.22,41,28.5,106,4.78,7.47
