Name,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
Gerrid Doaks,RB,71.38,228,4.58,19,39.5,120,4.28,7.21
Tommy Doyle,OT,80,320,5.12,24,33.5,111,4.57,7.42
Oscar Draguicevich,P,69.38,188,,,,134,,
Max Duffy,P,72.75,196,,,,118,,
Keith Duncan,K,69.38,176,,,,135,,
Isaiah Dunn,CB,71.5,189,4.38,13,35.5,127,4.14,6.91
Michael Dwumfour,DT,73.63,291,5.1,19,32,108,4.44,7.26
Brandin Echols,CB,70.13,179,4.36,13,42.5,136,4.12,6.84
Sam Ehlinger,QB,73.13,220,4.84,,36.5,114,4.44,7.15
Liam Eichenberg,OT,78.13,306,,33,26.5,105,4.57,7.53
Milo Eifler,OLB,74.13,228,4.58,14,37,126,4.35,7.15
BJ Emmons,RB,71.38,215,4.59,21,36,120,4.14,6.89
DWayne Eskridge,WR,68.75,190,4.4,,35,124,4.27,6.95
Dorian Etheridge,ILB,73.75,233,4.88,19,35,121,4.46,7.25
Travis Etienne,RB,70.13,215,4.45,18,33.5,128,,
Nick Eubanks,TE,76.5,245,4.69,19,34,120,4.53,7.32
Chris Evans,RB,71,211,4.52,20,40.5,127,4.14,6.85
Austin Faoliu,DT,75.13,287,,,,133,,
Caleb Farley,CB,73,207,,,,131,,
Matt Farniok,OG,77.25,311,5.2,28,33,105,4.47,7.19
Luke Farrell,TE,77.5,251,4.82,22,36.5,118,4.33,7.14
Joshua Fedd-Jackson,OG,75.13,331,5.62,13,24.5,99,5.18,8.38
Demetric Felton,RB,68.63,189,4.59,10,31.5,114,4.5,7.31
Parker Ferguson,OG,75.75,306,5.19,24,31,103,4.9,7.75
Justin Fields,QB,74.75,227,4.46,,,119,,
Tony Fields,ILB,72.25,222,4.64,17,34,114,4.48,7.15
Paddy Fisher,ILB,75.25,240,4.91,20,31.5,110,4.47,7
Dez Fitzpatrick,WR,73.75,208,4.49,,35,100,4.25,7.06
Thomas Fletcher,LS,72.75,236,4.93,13,33.5,109,4.58,7.65
Paris Ford,SS,72.63,197,4.85,,28.5,110,4.45,7.44
Darrick Forrest,SS,71.5,206,4.43,21,39,132,4.22,6.91
Miller Forristall,TE,76.75,239,4.79,20,35,118,4.45,7.03
Stone Forsythe,OT,80,307,5.13,25,27.5,103,4.63,7.47
Feleipe Franks,QB,78.63,234,4.61,,32.5,117,4.22,7.16
Pat Freiermuth,TE,77,251,,,,113,,
Will Fries,OT,78.38,309,5.38,24,31,115,4.51,7.75
Jake Funk,RB,70.25,204,4.49,22,38,122,4.12,6.71
Kenneth Gainwell,RB,68.38,201,4.47,21,35,121,4.46,7.26
Bailey Gaither,WR,72,188,4.48,9,31,121,4.39,7.07
Blake Gallagher,OLB,71.75,228,4.83,27,31.5,107,4.4,7.23
Chris Garrett,OLB,75.5,241,4.88,11,30,108,4.31,7.15
Mark Gilbert,CB,72.13,186,4.48,13,36,130,4.38,7.1
Tyree Gillespie,SS,71.75,207,4.43,15,35.5,108,4.39,7.06
Chauncey Golston,DE,76.75,269,4.83,22,36,119,4.59,7.47
OBryan Goodson,DT,70.25,276,,26,,120,,
Tay Gowan,CB,72.88,186,4.49,13,35.5,118,4.27,6.86
TaQuon Graham,DT,75.13,292,4.89,32,32.5,113,4.68,7.31
Thomas Graham,CB,70.38,192,4.49,13,34.5,121,4.19,7.08
Kylen Granson,FB,73.5,241,4.64,16,36.5,120,4.4,6.93
Richie Grant,FS,71.63,197,4.57,12,34.5,129,4.27,6.78
Noah Gray,TE,75,240,4.62,15,35,115,4.45,6.9
Carson Green,OT,78.13,320,5.33,23,29.5,108,4.75,7.08
Trevon Grimes,WR,76,220,4.5,15,35,118,4.26,7
Robert Hainsey,OG,76.5,306,5.24,32,27.5,104,4.64,7.53
Devery Hamilton,OT,78.63,311,5.27,21,33.5,112,4.89,7.81
Damar Hamlin,FS,72.88,200,4.6,18,35,118,4.4,6.93
Mike Hampton,CB,71.63,186,,22,,110,,
Adrian Hardy,WR,73,205,4.61,12,37.5,124,4.5,6.96
JaQuan Hardy,RB,68.25,211,4.56,21,33,119,4.14,6.98
Bryce Hargrove,OG,75.88,310,5.46,26,27,97,5.03,8.06
Scooter Harrington,TE,76.75,250,5.19,,29,105,4.53,7.2
Brontae Harris,CB,69,184,4.87,3,30.5,105,4.54,7.71
Jacob Harris,WR,77,219,4.43,15,40.5,133,4.31,6.51
Najee Harris,RB,73.38,232,,,,117,,
Pressley Harvin,P,71.13,263,,14,,111,,
Blake Haubeil,K,75.75,233,,,,108,,
Javian Hawkins,RB,68.13,183,4.46,,36,116,4.25,6.95
Daelin Hayes,DE,75.5,253,4.75,26,32.5,119,4.3,7.21
Damon Hazelton,WR,74.75,206,4.64,,37.5,120,4.32,7.11
Jack Heflin,DT,75,304,5.33,25,29,104,4.62,7.57
Brett Heggie,C,76,310,5.5,21,26,105,4.69,7.66
Kyel Hemby,SS,72,200,4.61,16,28.5,110,4.52,7.34
Justin Henderson,RB,67.75,220,4.65,26,32,118,4.59,7.22
Khalil Herbert,RB,68.88,210,4.5,22,33,115,4.34,6.9
Chandon Herring,OT,78.75,307,5.05,26,29,113,4.69,7.65
Malik Herring,DE,75.25,275,,,,136,,
Jarrod Hewitt,DT,73.38,290,5.02,,26,104,4.76,7.98
Kylin Hill,RB,70.5,214,4.57,22,36,122,4.35,7.2
Trey Hill,C,75.5,319,5.46,17,,118,4.95,8.29
Justin Hilliard,OLB,72.5,229,4.81,27,34.5,116,4.39,7.21
Nate Hobbs,CB,71.38,196,4.48,17,40.5,135,4.17,6.85
Jared Hocker,OG,78,327,5.37,,30,103,4.76,7.58
Tristen Hoge,OG,76.75,306,5.22,29,26,105,4.85,7.9
Jevon Holland,FS,72.63,207,4.47,19,35.5,126,4.16,
Jaycee Horn,CB,72.75,205,4.4,19,41.5,133,,
Eli Howard,DT,75.25,276,5.22,28,29.5,110,4.55,7.33
Chuba Hubbard,RB,72,210,4.51,20,36,120,4.3,7.28
Talanoa Hufanga,SS,72.38,199,4.64,12,35.5,128,4.39,6.96
Creed Humphrey,C,76.25,302,5.11,29,33,112,4.49,7.5
Sadarius Hutcherson,OG,75.38,321,5.01,35,31.5,106,,
Josh Imatorbhebhe,WR,72.88,218,4.53,24,46.5,134,4.38,7.1
Alaric Jackson,OT,77.5,321,5.4,20,25,103,4.92,7.69
Deon Jackson,RB,71,218,4.42,18,36,123,4.4,7.14
Drake Jackson,C,73.88,293,,,31.5,123,,
Tarron Jackson,DE,74.13,254,4.71,25,29.5,118,4.46,7.44
Warren Jackson,WR,78,219,4.72,11,33.5,123,4.51,7.71
Jerry Jacobs,CB,70.25,208,4.53,20,34.5,120,4.33,6.95
Brenden Jaimes,OT,77,298,,25,30.5,112,4.5,7.46
Terrell Jana,WR,71.13,195,4.69,17,32,110,4.13,7.05
Shemar Jean-Charles,CB,70.38,184,4.52,19,35,124,4.33,7.15
Teven Jenkins,OT,77.88,317,5.01,36,32.5,106,4.68,7.69
Buddy Johnson,ILB,72.5,229,4.58,,38.5,128,4.07,7.09
Cade Johnson,WR,70.63,184,4.51,11,35,114,,
Dwayne Johnson,SS,73.38,207,4.71,17,32.5,120,4.63,7.35
Josh Johnson,RB,68.88,209,4.61,22,35.5,115,4.4,7.16
Mustafa Johnson,DT,72.13,280,,27,29,103,4.53,7.19
Patrick Johnson,OLB,74,240,4.66,16,35,119,4.45,6.96
Raymond Johnson,DE,74.5,260,4.78,19,33,115,4.71,7.21
Braylon Jones,OG,75.38,301,5.33,18,26.5,108,4.75,7.69
Ernest Jones,ILB,73.5,230,4.72,19,38.5,126,4.38,7.49
Kobe Jones,DE,75.25,255,,15,28,113,4.63,7.51
Naquan Jones,DT,75.38,313,5.46,20,25,100,4.8,
Robert Jones,OG,76.25,307,5.32,,31,101,4.84,8.16
Tim Jones,WR,72.75,203,4.47,17,40,124,4.14,7.02
Brevin Jordan,TE,74.63,247,4.68,17,34,116,4.5,7.57
Kelvin Joseph,CB,71.5,197,4.35,,35,128,4.23,7.21
Hunter Kampmoyer,TE,76.38,243,4.83,21,31,113,4.56,7.28
Isaiah Kaufusi,OLB,73.88,221,4.8,19,30.5,117,4.55,7.01
Xavier Kelly,DT,76.63,306,,27,27,99,,
Carlo Kemp,DT,74.5,281,5.07,27,28.5,97,4.57,7.33
Brandon Kennedy,C,74,286,5.32,22,25,100,4.92,8.36
Alex Kessman,K,74.25,189,,,,108,,
Devon Key,SS,71.63,208,4.56,20,38,123,4.15,7.13
Malcolm Koonce,DE,74.25,249,,,,115,,
Tommy Kraemer,OG,77.5,309,,,,115,,
Tanner Kuljian,P,69.75,178,,,,119,,
Trey Lance,QB,75.88,224,,,,131,,
Ryan Langan,LS,73.13,237,5.14,,,102,,
Nolan Laufenberg,OG,76.13,312,5.34,,29.5,105,4.77,7.7
Trevor Lawrence,QB,77.63,213,,,38.5,119,,
Alex Leatherwood,OT,77.13,312,5.01,,34.5,118,4.65,7.45
Richard LeCounte,SS,61.5,196,4.79,,32.5,128,4.49,7.44
Thomas Leggett,FS,71.63,196,4.58,20,36.5,116,4.35,7.25
Deommodore Lenoir,CB,70.25,199,4.45,15,34.5,121,4.34,7.02
Walker Little,OT,79.38,313,5.3,24,29.5,111,4.59,7.44
Roy Lopez,DT,73.63,304,5.19,36,31,105,4.51,7.39
Isaiahh Loudermilk,DE,78.38,274,5.08,21,28.5,112,4.55,7.52
Branden Mack,WR,77,217,4.66,11,31,115,4.37,7.13
CJ Marable,RB,66.88,195,4.58,17,36,116,4.34,7.32
Terrace Marshall,WR,74.5,205,4.4,19,39,125,,
Jah-Maine Martin,RB,69.13,203,,,,127,,
Ben Mason,FB,74.75,246,4.77,29,37.5,117,4.44,6.89
Jalen Mayfield,OT,77.25,326,5.39,,28.5,96,4.91,7.86
Richard McBryde,ILB,72.63,226,4.93,16,27.5,114,4.65,7.43
Mac McCain,CB,71,186,4.48,13,35.5,123,4.2,7.09
Leighton McCarthy,OLB,74,226,4.88,24,41,127,4.71,7.09
Khalil McClain,WR,74.88,214,4.7,15,32,114,4.5,7.72
Nick McCloud,CB,72.13,193,4.46,12,34,124,4.16,6.93
Ryan McCollum,C,77.25,307,5.3,20,29.5,98,4.8,7.71
Sandon McCoy,FB,70.25,215,4.78,18,32,114,4.56,7.47
Greg McCrae,RB,69.88,182,4.54,,37.5,124,4.37,6.88
Nate McCrary,RB,72.25,213,4.52,19,34,123,4.19,6.94
Tre McKitty,TE,76.25,246,,23,,118,,
Romeo McKnight,DE,76.13,252,4.98,,38,118,7.2,7.06
Racey McMath,WR,74.5,211,4.39,,34,125,4.4,7.37
Alim McNeill,DT,73.88,317,5,27,30.5,108,4.65,7.68
Zech McPhearson,CB,70.88,191,4.5,14,40.5,130,4.03,6.84
Quinn Meinerz,C,74.88,320,4.99,,32,111,4.58,7.54
Michal Menet,C,76.13,301,,26,,126,,
