name,five_ft_split,ten_ft_split,fifteen_ft_split,twenty_ft_split,twenty_five_ft_split,thirty_ft_split,thirty_five_ft_split,forty_ft_split,forty_five_ft_split,fifty_ft_split,fifty_five_ft_split,sixty_ft_split,sixty_five_ft_split,seventy_ft_split,seventy_five_ft_split,eighty_ft_split,eighty_five_ft_split,ninety_ft_split,ID,weight,height,bats,throws
"Anderson, Brian",0.56,0.8757142857,1.145714286,1.395714286,1.624285714,1.845714286,2.052857143,2.255714286,2.45,2.641428571,2.83,3.015714286,3.201428571,3.384285714,3.567142857,3.748571429,3.935714286,4.13,358,220,74,R,R
"Anderson, Brian",0.56,0.8757142857,1.145714286,1.395714286,1.624285714,1.845714286,2.052857143,2.255714286,2.45,2.641428571,2.83,3.015714286,3.201428571,3.384285714,3.567142857,3.748571429,3.935714286,4.13,361,208,75,R,R
"Anderson, Tim",0.5475,0.84625,1.1,1.33125,1.55,1.75375,1.94875,2.1375,2.31875,2.4975,2.6725,2.84375,3.015,3.18125,3.35125,3.52125,3.69125,3.87375,402,185,73,R,R
"Andreoli, John",0.53,0.82,1.08,1.31,1.52,1.73,1.92,2.11,2.29,2.46,2.64,2.81,2.97,3.14,3.3,3.47,3.63,3.79,419,218,73,R,R
"Andrus, Elvis",0.5544444444,0.8666666667,1.133333333,1.376666667,1.604444444,1.822222222,2.024444444,2.224444444,2.417777778,2.604444444,2.793333333,2.974444444,3.156666667,3.335555556,3.516666667,3.694444444,3.878888889,4.071111111,429,210,72,R,R
"Andujar, Miguel",0.5583333333,0.8716666667,1.136666667,1.38,1.603333333,1.813333333,2.013333333,2.21,2.4,2.585,2.77,2.951666667,3.125,3.305,3.481666667,3.655,3.836666667,4.016666667,434,211,72,R,R
"Aquino, Aristides",0.5533333333,0.8666666667,1.133333333,1.37,1.596666667,1.806666667,2.003333333,2.196666667,2.383333333,2.566666667,2.743333333,2.92,3.09,3.263333333,3.433333333,3.606666667,3.776666667,3.956666667,462,220,76,R,R
"Aranda, Jonathan",0.55,0.87,1.135,1.38,1.61,1.82,2.03,2.23,2.425,2.625,2.815,3.005,3.195,3.38,3.57,3.77,3.975,4.195,468,210,72,L,R
"Arcia, Francisco",0.52,0.83,1.11,1.37,1.62,1.85,2.07,2.29,2.5,2.7,2.9,3.1,3.3,3.5,3.71,3.91,4.12,4.35,479,200,71,L,R
"Arcia, Orlando",0.55375,0.87,1.14375,1.3925,1.6225,1.83875,2.04625,2.2475,2.44,2.63125,2.81875,3.005,3.18875,3.37375,3.55375,3.7375,3.9275,4.12625,481,187,72,R,R
"Arcia, Oswaldo",0.55,0.84,1.1,1.35,1.57,1.78,1.99,2.18,2.37,2.55,2.73,2.91,3.09,3.26,3.44,3.61,3.79,3.97,482,230,72,L,R
"Arenado, Nolan",0.5677777778,0.9066666667,1.193333333,1.454444444,1.697777778,1.927777778,2.145555556,2.356666667,2.562222222,2.763333333,2.958888889,3.153333333,3.344444444,3.534444444,3.723333333,3.914444444,4.111111111,4.32,488,215,74,R,R
"Arias, Gabriel",0.57,0.895,1.16,1.4,1.62,1.835,2.04,2.235,2.425,2.615,2.8,2.98,3.16,3.34,3.51,3.685,3.86,4.04,493,217,73,R,R
"Arias, Joaquin",0.58,0.88,1.13,1.37,1.6,1.82,2.02,2.22,2.41,2.6,2.78,2.96,3.14,3.32,3.49,3.66,3.84,4.01,495,185,73,R,R
"Arozarena, Randy",0.56,0.8725,1.1325,1.365,1.58,1.785,1.9825,2.1675,2.35,2.53,2.7025,2.88,3.05,3.2175,3.39,3.56,3.725,3.9125,528,185,71,R,R
"Arraez, Luis",0.54,0.844,1.106,1.344,1.566,1.78,1.982,2.18,2.376,2.564,2.75,2.936,3.116,3.298,3.482,3.664,3.858,4.07,529,175,70,L,R
"Arroyo, Christian",0.54,0.8528571429,1.121428571,1.367142857,1.592857143,1.808571429,2.011428571,2.21,2.402857143,2.591428571,2.775714286,2.958571429,3.14,3.314285714,3.492857143,3.67,3.848571429,4.037142857,535,210,73,R,R
"Arteaga, Humberto",0.56,0.87,1.13,1.38,1.6,1.82,2.02,2.22,2.41,2.6,2.79,2.97,3.15,3.33,3.51,3.69,3.88,4.07,540,160,73,R,R
"Asche, Cody",0.54,0.825,1.08,1.325,1.55,1.765,1.975,2.17,2.36,2.55,2.735,2.915,3.1,3.28,3.455,3.635,3.815,4.01,547,205,73,L,R
