name,five_ft_split,ten_ft_split,fifteen_ft_split,twenty_ft_split,twenty_five_ft_split,thirty_ft_split,thirty_five_ft_split,forty_ft_split,forty_five_ft_split,fifty_ft_split,fifty_five_ft_split,sixty_ft_split,sixty_five_ft_split,seventy_ft_split,seventy_five_ft_split,eighty_ft_split,eighty_five_ft_split,ninety_ft_split,ID,weight,height,bats,throws
"Bryant, Kris",0.5588888889,0.8766666667,1.144444444,1.388888889,1.613333333,1.827777778,2.032222222,2.23,2.421111111,2.607777778,2.793333333,2.974444444,3.15,3.327777778,3.503333333,3.677777778,3.855555556,4.042222222,2306,230,77,R,R
"Burdick, Peyton",0.54,0.86,1.13,1.37,1.6,1.81,2.01,2.21,2.4,2.58,2.77,2.95,3.13,3.3,3.48,3.66,3.83,4.01,2396,205,72,R,R
"Burger, Jake",0.555,0.895,1.175,1.42,1.65,1.86,2.065,2.265,2.455,2.635,2.825,3.005,3.175,3.355,3.525,3.7,3.88,4.06,2399,230,74,R,R
"Burleson, Alec",0.55,0.875,1.155,1.405,1.635,1.855,2.075,2.275,2.48,2.675,2.87,3.06,3.245,3.435,3.615,3.805,4.005,4.2,2441,212,74,L,L
"Burns, Billy",0.53,0.805,1.05,1.2725,1.4875,1.69,1.8875,2.0725,2.2525,2.4325,2.605,2.775,2.945,3.11,3.275,3.445,3.6125,3.7875,2455,170,69,B,R
"Buss, Nick",0.53,0.81,1.07,1.31,1.53,1.74,1.94,2.14,2.32,2.51,2.68,2.86,3.04,3.21,3.39,3.57,3.76,3.95,2530,190,74,L,R
"Butera, Drew",0.5533333333,0.8666666667,1.15,1.41,1.656666667,1.886666667,2.103333333,2.313333333,2.523333333,2.726666667,2.926666667,3.126666667,3.323333333,3.52,3.716666667,3.91,4.113333333,4.33,2535,212,73,R,R
"Butler, Billy",0.555,0.885,1.18,1.455,1.71,1.955,2.18,2.4,2.615,2.825,3.035,3.24,3.445,3.645,3.845,4.05,4.255,4.475,2543,260,72,R,R
"Butler, Joey",0.56,0.85,1.11,1.35,1.58,1.79,2,2.19,2.38,2.56,2.75,2.92,3.1,3.27,3.45,3.62,3.8,3.99,2556,220,74,R,R
"Buxton, Byron",0.5425,0.83625,1.08375,1.31125,1.52125,1.72,1.90875,2.09125,2.2675,2.43875,2.60625,2.77125,2.93625,3.10125,3.26125,3.42125,3.58375,3.75125,2568,190,74,R,R
"Byrd, Marlon",0.555,0.855,1.12,1.375,1.61,1.83,2.04,2.245,2.44,2.63,2.815,3.005,3.19,3.365,3.545,3.725,3.905,4.095,2582,245,72,R,R
"Cabrera, Everth",0.535,0.82,1.065,1.295,1.52,1.73,1.94,2.13,2.32,2.505,2.685,2.865,3.045,3.215,3.395,3.57,3.755,3.945,2603,190,70,B,R
"Cabrera, Melky",0.546,0.849,1.119,1.372,1.606,1.826,2.037,2.239,2.433,2.627,2.816,3.004,3.186,3.37,3.557,3.742,3.938,4.144,2610,210,70,B,L
"Cabrera, Miguel",0.5725,0.9125,1.20625,1.47625,1.725,1.9625,2.185,2.40125,2.61125,2.8175,3.0225,3.22375,3.425,3.6225,3.82625,4.02625,4.23875,4.4575,2611,267,76,R,R
"Cabrera, Oswaldo",0.5533333333,0.8633333333,1.12,1.36,1.58,1.79,1.99,2.183333333,2.373333333,2.556666667,2.743333333,2.92,3.096666667,3.273333333,3.446666667,3.623333333,3.806666667,3.993333333,2613,200,72,B,R
"Cain, Lorenzo",0.5542857143,0.8585714286,1.115714286,1.351428571,1.57,1.778571429,1.974285714,2.162857143,2.344285714,2.524285714,2.702857143,2.874285714,3.042857143,3.214285714,3.38,3.545714286,3.715714286,3.894285714,2631,214,74,R,R
"Calhoun, Kole",0.5344444444,0.8333333333,1.098888889,1.348888889,1.582222222,1.801111111,2.011111111,2.216666667,2.413333333,2.607777778,2.8,2.99,3.178888889,3.363333333,3.551111111,3.743333333,3.94,4.147777778,2649,205,70,L,L
"Calhoun, Willie",0.5483333333,0.8633333333,1.141666667,1.395,1.63,1.851666667,2.063333333,2.27,2.468333333,2.663333333,2.856666667,3.046666667,3.235,3.423333333,3.611666667,3.805,4.001666667,4.211666667,2650,200,68,L,R
"Calixte, Orlando",0.57,0.87,1.14,1.38,1.61,1.82,2.02,2.21,2.39,2.57,2.75,2.92,3.1,3.27,3.43,3.6,3.76,3.94,2654,183,72,R,R
"Callaspo, Alberto",0.575,0.905,1.185,1.445,1.69,1.92,2.145,2.355,2.57,2.77,2.975,3.17,3.37,3.565,3.765,3.97,4.185,4.42,2655,210,68,B,R
"Call, Alex",0.56,0.88,1.145,1.38,1.6,1.81,2.01,2.21,2.395,2.58,2.76,2.935,3.11,3.285,3.455,3.63,3.8,3.975,2664,188,71,R,R
"Camargo, Johan",0.5414285714,0.8514285714,1.121428571,1.367142857,1.597142857,1.817142857,2.025714286,2.228571429,2.428571429,2.622857143,2.811428571,3.002857143,3.19,3.377142857,3.567142857,3.764285714,3.972857143,4.205714286,2681,195,72,B,R
"Cameron, Daz",0.5366666667,0.8533333333,1.106666667,1.336666667,1.56,1.76,1.956666667,2.15,2.33,2.51,2.686666667,2.863333333,3.036666667,3.206666667,3.38,3.556666667,3.73,3.92,2684,185,74,R,R
"Campbell, Eric",0.555,0.85,1.115,1.355,1.58,1.795,2.005,2.205,2.395,2.58,2.765,2.95,3.13,3.31,3.49,3.665,3.845,4.045,2709,215,75,R,R
"Campusano, Luis",0.555,0.89,1.175,1.43,1.67,1.895,2.105,2.31,2.515,2.715,2.905,3.09,3.285,3.47,3.655,3.84,4.03,4.23,2739,232,71,R,R
"Candelario, Jeimer",0.5475,0.8633333333,1.133333333,1.3775,1.61,1.826666667,2.035833333,2.233333333,2.426666667,2.616666667,2.8,2.984166667,3.165,3.343333333,3.5225,3.699166667,3.88,4.0675,2747,216,73,B,R
"Canha, Mark",0.55625,0.8675,1.13,1.37375,1.6,1.81375,2.0175,2.2175,2.40625,2.595,2.77625,2.95875,3.1375,3.3175,3.49625,3.67,3.85,4.03125,2753,192,74,R,R
"Capel, Conner",0.55,0.86,1.13,1.37,1.6,1.81,2.01,2.21,2.4,2.59,2.77,2.96,3.14,3.32,3.5,3.68,3.86,4.05,2774,185,73,L,L
"Caratini, Victor",0.5444444444,0.8622222222,1.143333333,1.397777778,1.637777778,1.862222222,2.077777778,2.287777778,2.492222222,2.691111111,2.887777778,3.081111111,3.276666667,3.47,3.666666667,3.868888889,4.085555556,4.322222222,2789,215,73,B,R
"Carlson, Dylan",0.5633333333,0.875,1.143333333,1.381666667,1.605,1.816666667,2.016666667,2.213333333,2.401666667,2.586666667,2.766666667,2.945,3.121666667,3.3,3.473333333,3.645,3.825,4.018333333,2826,205,74,B,L
"Carpenter, Kerry",0.55,0.85,1.115,1.345,1.565,1.77,1.97,2.165,2.355,2.535,2.715,2.895,3.07,3.245,3.425,3.6,3.78,3.975,2855,220,74,L,R
"Carpenter, Matt",0.5544444444,0.87,1.143333333,1.39,1.621111111,1.841111111,2.05,2.254444444,2.45,2.643333333,2.833333333,3.018888889,3.207777778,3.394444444,3.581111111,3.77,3.966666667,4.177777778,2857,210,76,L,R
"Carrera, Ezequiel",0.5366666667,0.82,1.07,1.31,1.53,1.74,1.94,2.126666667,2.31,2.49,2.67,2.843333333,3.013333333,3.183333333,3.356666667,3.526666667,3.703333333,3.883333333,2872,185,71,L,L
"Carroll, Corbin",0.515,0.8,1.045,1.26,1.465,1.66,1.845,2.025,2.2,2.37,2.535,2.705,2.865,3.025,3.19,3.35,3.505,3.675,2886,165,70,L,L
"Carter, Chris",0.55,0.86,1.133333333,1.386666667,1.62,1.84,2.053333333,2.253333333,2.453333333,2.643333333,2.833333333,3.023333333,3.203333333,3.39,3.573333333,3.756666667,3.943333333,4.143333333,2908,230,72,L,L
"Carter, Chris",0.55,0.86,1.133333333,1.386666667,1.62,1.84,2.053333333,2.253333333,2.453333333,2.643333333,2.833333333,3.023333333,3.203333333,3.39,3.573333333,3.756666667,3.943333333,4.143333333,2909,245,76,R,R
"Casali, Curt",0.562,0.896,1.194,1.46,1.71,1.944,2.172,2.39,2.602,2.81,3.016,3.218,3.42,3.618,3.818,4.02,4.222,4.43,2928,220,74,R,R
"Casas, Triston",0.54,0.865,1.14,1.39,1.63,1.85,2.065,2.275,2.48,2.675,2.875,3.065,3.265,3.455,3.65,3.85,4.045,4.255,2932,252,76,L,R
"Castellanos, Nick",0.5566666667,0.8711111111,1.136666667,1.382222222,1.612222222,1.828888889,2.033333333,2.232222222,2.426666667,2.613333333,2.797777778,2.982222222,3.161111111,3.34,3.517777778,3.691111111,3.868888889,4.053333333,2968,203,76,R,R
"Castillo, Rusney",0.54,0.84,1.09,1.32,1.55,1.76,1.97,2.16,2.35,2.53,2.72,2.89,3.07,3.25,3.43,3.6,3.78,3.96,2997,207,69,R,R
"Castillo, Welington",0.548,0.86,1.136,1.398,1.642,1.87,2.092,2.304,2.514,2.722,2.926,3.124,3.326,3.524,3.73,3.932,4.14,4.356,3002,215,70,R,R
"Castro, Daniel",0.56,0.87,1.143333333,1.396666667,1.63,1.853333333,2.063333333,2.263333333,2.463333333,2.656666667,2.846666667,3.033333333,3.22,3.403333333,3.59,3.776666667,3.97,4.173333333,3015,201,71,R,R
"Castro, Harold",0.552,0.866,1.132,1.376,1.604,1.818,2.024,2.226,2.416,2.61,2.798,2.98,3.168,3.348,3.536,3.728,3.93,4.146,3017,195,70,L,R
"Castro, Jason",0.535,0.8416666667,1.106666667,1.353333333,1.583333333,1.801666667,2.01,2.211666667,2.408333333,2.601666667,2.791666667,2.978333333,3.161666667,3.345,3.526666667,3.711666667,3.9,4.091666667,3018,215,75,L,R
"Castro, Rodolfo",0.55,0.87,1.1375,1.3775,1.6075,1.815,2.0175,2.2125,2.4075,2.5925,2.7775,2.9625,3.1375,3.315,3.495,3.67,3.85,4.0425,3025,205,72,B,R
"Castro, Starlin",0.55,0.8516666667,1.116666667,1.36,1.588333333,1.801666667,2.003333333,2.2,2.391666667,2.576666667,2.76,2.941666667,3.12,3.296666667,3.476666667,3.653333333,3.838333333,4.031666667,3027,218,74,R,R
"Castro, Willi",0.5471428571,0.86,1.122857143,1.357142857,1.572857143,1.781428571,1.978571429,2.17,2.355714286,2.535714286,2.715714286,2.891428571,3.067142857,3.24,3.411428571,3.584285714,3.757142857,3.937142857,3028,206,73,B,R
"Cave, Jake",0.5333333333,0.8283333333,1.088333333,1.325,1.546666667,1.758333333,1.96,2.153333333,2.343333333,2.528333333,2.715,2.896666667,3.073333333,3.251666667,3.428333333,3.603333333,3.786666667,3.976666667,3048,200,72,L,L
"Cecchini, Gavin",0.55,0.84,1.1,1.35,1.58,1.79,2,2.19,2.38,2.57,2.75,2.93,3.11,3.29,3.46,3.64,3.82,4.01,3055,200,74,R,R
"Celestino, Gilberto",0.56,0.88,1.145,1.385,1.605,1.81,2.01,2.21,2.395,2.58,2.76,2.94,3.12,3.29,3.465,3.635,3.815,3.99,3068,170,72,R,L
"Centeno, Juan",0.53,0.84,1.11,1.36,1.6,1.82,2.03,2.23,2.42,2.62,2.81,3,3.19,3.38,3.57,3.77,3.98,4.2,3069,195,69,L,R
"Cervelli, Francisco",0.548,0.862,1.134,1.39,1.624,1.846,2.058,2.262,2.462,2.658,2.852,3.042,3.23,3.42,3.606,3.792,3.982,4.186,3079,220,72,R,R
"Cespedes, Yoenis",0.5475,0.845,1.1075,1.3475,1.575,1.785,1.9875,2.1775,2.365,2.55,2.725,2.905,3.08,3.2525,3.425,3.5975,3.7725,3.9525,3082,225,71,R,R
"Chang, Yu",0.5475,0.855,1.12,1.36,1.5825,1.795,1.995,2.1875,2.3775,2.5575,2.7375,2.9175,3.0925,3.27,3.44,3.6125,3.7875,3.9675,3122,180,73,R,R
"Chapman, Matt",0.5514285714,0.8642857143,1.127142857,1.367142857,1.594285714,1.802857143,2.005714286,2.197142857,2.387142857,2.571428571,2.751428571,2.931428571,3.107142857,3.281428571,3.454285714,3.625714286,3.798571429,3.974285714,3141,215,72,R,R
"Chavis, Michael",0.55,0.86,1.12,1.354,1.576,1.784,1.986,2.18,2.368,2.55,2.73,2.908,3.084,3.256,3.43,3.598,3.774,3.952,3170,190,70,R,R
"Chirinos, Robinson",0.5642857143,0.88,1.155714286,1.412857143,1.655714286,1.881428571,2.098571429,2.31,2.515714286,2.72,2.92,3.117142857,3.312857143,3.508571429,3.704285714,3.902857143,4.115714286,4.34,3207,220,73,R,R
"Chisenhall, Lonnie",0.525,0.815,1.075,1.32,1.55,1.77,1.9775,2.175,2.3675,2.555,2.7425,2.9275,3.1075,3.29,3.47,3.655,3.845,4.04,3209,190,74,L,R
"Choo, Shin-Soo",0.5416666667,0.8383333333,1.1,1.346666667,1.576666667,1.79,2,2.198333333,2.393333333,2.583333333,2.77,2.955,3.138333333,3.321666667,3.505,3.691666667,3.883333333,4.088333333,3222,205,71,L,L
"Ciriaco, Pedro",0.55,0.83,1.07,1.3,1.52,1.72,1.92,2.11,2.29,2.47,2.64,2.81,2.98,3.14,3.3,3.46,3.64,3.8,3275,180,72,R,R
"Clement, Ernie",0.56,0.87,1.133333333,1.366666667,1.586666667,1.796666667,1.996666667,2.19,2.373333333,2.556666667,2.736666667,2.913333333,3.093333333,3.263333333,3.44,3.61,3.783333333,3.956666667,3392,170,72,R,R
"Clemens, Kody",0.555,0.855,1.12,1.355,1.58,1.79,1.99,2.18,2.37,2.555,2.74,2.92,3.09,3.27,3.45,3.625,3.805,3.99,3395,200,73,L,R
"Clevenger, Steve",0.53,0.84,1.12,1.38,1.62,1.85,2.07,2.28,2.48,2.69,2.89,3.09,3.29,3.5,3.7,3.92,4.15,4.4,3409,210,70,L,R
"Coats, Jason",0.55,0.83,1.09,1.33,1.56,1.77,1.98,2.17,2.36,2.55,2.74,2.92,3.1,3.28,3.46,3.64,3.82,4,3443,200,74,R,R
"Coghlan, Chris",0.54,0.8366666667,1.096666667,1.343333333,1.573333333,1.793333333,2.003333333,2.206666667,2.403333333,2.596666667,2.786666667,2.973333333,3.163333333,3.346666667,3.536666667,3.72,3.916666667,4.116666667,3473,195,72,L,R
"Colabello, Chris",0.57,0.89,1.17,1.43,1.67,1.9,2.11,2.32,2.52,2.72,2.92,3.11,3.3,3.48,3.67,3.86,4.06,4.26,3481,210,76,R,R
"Collins, Tyler",0.5266666667,0.8066666667,1.056666667,1.296666667,1.52,1.733333333,1.933333333,2.126666667,2.313333333,2.5,2.68,2.856666667,3.033333333,3.206666667,3.38,3.55,3.73,3.91,3559,215,71,L,L
"Conforto, Michael",0.54125,0.84125,1.10125,1.34,1.5675,1.78,1.98375,2.17875,2.37,2.55625,2.74125,2.92375,3.09875,3.28,3.45625,3.6375,3.82,4.02,3605,215,73,L,R
"Conger, Hank",0.52,0.83,1.11,1.38,1.63,1.86,2.08,2.29,2.51,2.71,2.92,3.12,3.32,3.53,3.73,3.94,4.16,4.39,3608,220,74,B,R
"Contreras, Mark",0.53,0.83,1.08,1.31,1.52,1.72,1.91,2.1,2.28,2.46,2.64,2.82,2.99,3.16,3.33,3.51,3.69,3.87,3665,195,72,L,R
"Contreras, Willson",0.5525,0.86125,1.1225,1.3625,1.5875,1.80125,2.00375,2.20125,2.3925,2.58,2.7625,2.945,3.125,3.3,3.47875,3.65625,3.83375,4.02125,3668,225,73,R,R
"Contreras, William",0.5566666667,0.8833333333,1.156666667,1.4,1.626666667,1.84,2.046666667,2.243333333,2.436666667,2.626666667,2.813333333,2.993333333,3.18,3.36,3.54,3.72,3.903333333,4.096666667,3669,180,72,R,R
"Cooper, Garrett",0.574,0.9,1.176,1.424,1.652,1.87,2.08,2.28,2.474,2.664,2.852,3.036,3.22,3.398,3.58,3.76,3.944,4.134,3728,235,77,R,R
"Cordero, Franchy",0.538,0.834,1.09,1.32,1.538,1.74,1.936,2.126,2.308,2.484,2.662,2.836,3.008,3.176,3.344,3.516,3.694,3.878,3763,226,75,L,R
"Cordell, Ryan",0.53,0.82,1.06,1.29,1.51,1.71,1.9,2.09,2.27,2.44,2.61,2.78,2.95,3.12,3.28,3.44,3.61,3.78,3765,200,76,R,R
"Correa, Carlos",0.55,0.86,1.123333333,1.362222222,1.592222222,1.802222222,2.007777778,2.2,2.387777778,2.574444444,2.756666667,2.932222222,3.111111111,3.285555556,3.458888889,3.636666667,3.814444444,4.001111111,3792,220,76,R,R
"Cowart, Kaleb",0.52,0.81,1.06,1.31,1.53,1.74,1.94,2.14,2.32,2.51,2.69,2.88,3.06,3.23,3.41,3.6,3.79,3.98,3865,225,75,B,R
"Cowgill, Collin",0.53,0.81,1.05,1.28,1.5,1.71,1.92,2.11,2.3,2.48,2.67,2.84,3.02,3.2,3.37,3.55,3.73,3.91,3867,190,69,R,L
"Cozart, Zack",0.546,0.844,1.11,1.356,1.588,1.806,2.016,2.216,2.408,2.6,2.79,2.976,3.162,3.344,3.528,3.71,3.898,4.098,3891,204,72,R,R
"Craig, Allen",0.57,0.88,1.16,1.41,1.66,1.88,2.1,2.31,2.51,2.71,2.91,3.1,3.29,3.49,3.67,3.86,4.06,4.25,3903,215,74,R,R
"Craig, Will",0.6,0.93,1.2,1.45,1.69,1.92,2.14,2.35,2.56,2.76,2.94,3.13,3.32,3.51,3.7,3.89,4.09,4.29,3908,235,75,R,R
"Crawford, Brandon",0.5466666667,0.8533333333,1.117777778,1.362222222,1.593333333,1.808888889,2.02,2.22,2.417777778,2.61,2.801111111,2.987777778,3.175555556,3.361111111,3.545555556,3.733333333,3.928888889,4.128888889,3924,223,73,L,R
"Crawford, Carl",0.525,0.795,1.04,1.275,1.495,1.695,1.895,2.085,2.27,2.45,2.63,2.8,2.975,3.145,3.315,3.49,3.665,3.84,3926,230,74,L,L
"Crisp, Coco",0.5325,0.815,1.0675,1.305,1.53,1.74,1.945,2.1375,2.325,2.505,2.6875,2.8675,3.0425,3.2175,3.39,3.5675,3.7425,3.9225,3973,185,70,B,R
"Cronenworth, Jake",0.5425,0.8425,1.1,1.33,1.5425,1.7475,1.945,2.1325,2.3175,2.495,2.675,2.8475,3.02,3.19,3.36,3.5325,3.705,3.895,3996,187,72,L,R
"Cruz, Nelson",0.5566666667,0.88,1.156666667,1.41,1.647777778,1.872222222,2.086666667,2.295555556,2.497777778,2.694444444,2.888888889,3.08,3.271111111,3.46,3.648888889,3.838888889,4.034444444,4.234444444,4073,175,73,R,R
"Cruz, Nelson",0.5566666667,0.88,1.156666667,1.41,1.647777778,1.872222222,2.086666667,2.295555556,2.497777778,2.694444444,2.888888889,3.08,3.271111111,3.46,3.648888889,3.838888889,4.034444444,4.234444444,4074,230,74,R,R
"Cruz, Oneil",0.54,0.85,1.1,1.34,1.55,1.75,1.94,2.12,2.3,2.47,2.64,2.81,2.97,3.13,3.29,3.45,3.62,3.79,4075,220,79,L,R
"Cruz, Tony",0.54,0.86,1.14,1.4,1.65,1.88,2.1,2.3,2.51,2.7,2.89,3.09,3.28,3.46,3.66,3.85,4.06,4.29,4079,215,71,R,R
"Cuddyer, Michael",0.55,0.86,1.12,1.37,1.6,1.82,2.04,2.24,2.44,2.63,2.82,3,3.19,3.37,3.55,3.73,3.92,4.11,4087,220,74,R,R
"Cuevas, Noel",0.54,0.85,1.11,1.36,1.58,1.8,2,2.19,2.38,2.56,2.74,2.91,3.09,3.26,3.43,3.6,3.77,3.94,4095,225,74,R,R
"Culberson, Charlie",0.548,0.848,1.11,1.35,1.572,1.784,1.986,2.182,2.368,2.552,2.738,2.912,3.092,3.268,3.444,3.616,3.792,3.972,4098,200,73,R,R
"Cunningham, Todd",0.55,0.85,1.1,1.34,1.56,1.78,1.99,2.18,2.38,2.56,2.74,2.93,3.1,3.28,3.46,3.63,3.82,4.01,4131,205,72,B,R
"Cuthbert, Cheslor",0.5425,0.8475,1.115,1.3625,1.5975,1.82,2.03,2.2325,2.4275,2.6225,2.8125,3,3.185,3.37,3.555,3.74,3.9275,4.1225,4168,205,73,R,R
"Dahl, David",0.532,0.82,1.074,1.3,1.52,1.726,1.92,2.11,2.292,2.476,2.652,2.826,2.998,3.172,3.342,3.518,3.698,3.882,4184,197,74,L,R
"Dalbec, Bobby",0.55,0.87,1.13,1.365,1.585,1.795,1.995,2.19,2.375,2.56,2.735,2.915,3.095,3.265,3.44,3.615,3.79,3.965,4198,227,76,R,R
"d'Arnaud, Chase",0.5433333333,0.83,1.08,1.313333333,1.536666667,1.746666667,1.943333333,2.133333333,2.32,2.5,2.676666667,2.853333333,3.023333333,3.196666667,3.366666667,3.533333333,3.706666667,3.89,4263,197,73,R,R
"d'Arnaud, Travis",0.55875,0.87875,1.15375,1.405,1.6375,1.85875,2.06625,2.26875,2.46375,2.65625,2.84625,3.0325,3.2175,3.4025,3.5875,3.77,3.96125,4.16,4264,210,74,R,R
"Davidson, Matt",0.55,0.855,1.13,1.385,1.625,1.85,2.065,2.275,2.48,2.68,2.87,3.07,3.26,3.455,3.645,3.835,4.035,4.24,4312,230,75,R,R
"Davis, Chris",0.536,0.84,1.112,1.364,1.602,1.826,2.038,2.244,2.442,2.64,2.834,3.024,3.212,3.4,3.586,3.774,3.966,4.16,4335,255,76,L,R
"Davis, Ike",0.53,0.82,1.08,1.33,1.57,1.8,2.02,2.24,2.44,2.64,2.84,3.04,3.24,3.44,3.64,3.84,4.06,4.28,4351,140,67,R,R
"Davis, Ike",0.53,0.82,1.08,1.33,1.57,1.8,2.02,2.24,2.44,2.64,2.84,3.04,3.24,3.44,3.64,3.84,4.06,4.28,4352,220,76,L,L
"Davis, Jaylin",0.54,0.82,1.08,1.32,1.54,1.75,1.95,2.14,2.32,2.5,2.68,2.85,3.02,3.19,3.36,3.52,3.69,3.86,4356,205,71,R,R
"Davis, Jonathan",0.565,0.8725,1.1275,1.365,1.5775,1.785,1.98,2.1675,2.355,2.53,2.7075,2.8825,3.06,3.23,3.3975,3.57,3.7425,3.925,4364,190,68,R,R
"Davis, Khris",0.5471428571,0.86,1.125714286,1.375714286,1.604285714,1.824285714,2.032857143,2.235714286,2.43,2.622857143,2.812857143,3.002857143,3.188571429,3.374285714,3.56,3.748571429,3.94,4.14,4368,205,71,R,R
"Davis, Rajai",0.5425,0.8225,1.07,1.3025,1.5225,1.73,1.9225,2.1125,2.295,2.47,2.645,2.815,2.985,3.1525,3.315,3.48,3.6475,3.82,4380,195,70,R,R
"Daza, Yonathan",0.555,0.8725,1.1375,1.3775,1.6025,1.815,2.02,2.2125,2.4025,2.5875,2.7675,2.95,3.125,3.3,3.475,3.645,3.8175,3.995,4417,207,74,R,R
"Dean, Austin",0.56,0.855,1.12,1.365,1.595,1.81,2.02,2.21,2.405,2.59,2.775,2.955,3.135,3.31,3.485,3.66,3.84,4.02,4425,215,72,R,R
"De Aza, Alejandro",0.545,0.835,1.09,1.33,1.56,1.77,1.975,2.17,2.36,2.545,2.73,2.915,3.085,3.265,3.445,3.615,3.8,3.995,4439,195,72,L,L
"Decker, Jaff",0.56,0.85,1.12,1.37,1.59,1.81,2.02,2.21,2.41,2.59,2.78,2.96,3.15,3.33,3.51,3.69,3.88,4.08,4452,190,69,L,L
"DeJesus, David",0.56,0.86,1.12,1.36,1.6,1.81,2.02,2.22,2.42,2.6,2.79,2.97,3.16,3.34,3.52,3.71,3.91,4.12,4488,190,71,L,L
"DeJong, Paul",0.5585714286,0.8685714286,1.131428571,1.375714286,1.597142857,1.81,2.012857143,2.207142857,2.395714286,2.584285714,2.765714286,2.948571429,3.125714286,3.304285714,3.477142857,3.655714286,3.837142857,4.024285714,4495,205,72,R,R
"De La Cruz, Bryan",0.56,0.88,1.146666667,1.386666667,1.606666667,1.816666667,2.016666667,2.21,2.396666667,2.58,2.763333333,2.94,3.116666667,3.296666667,3.466666667,3.64,3.82,4.006666667,4498,175,74,R,R
"Delay, Jason",0.565,0.895,1.17,1.42,1.65,1.87,2.08,2.285,2.485,2.68,2.87,3.06,3.245,3.43,3.615,3.8,3.985,4.18,4521,200,71,R,R
"Demeritte, Travis",0.545,0.85,1.11,1.35,1.57,1.775,1.975,2.165,2.355,2.535,2.71,2.885,3.06,3.235,3.405,3.58,3.75,3.93,4567,180,72,R,R
"Denorfia, Chris",0.56,0.86,1.12,1.36,1.6,1.82,2.03,2.24,2.43,2.63,2.82,3.01,3.19,3.38,3.57,3.75,3.93,4.12,4591,195,72,R,R
"Descalso, Daniel",0.542,0.838,1.1,1.342,1.572,1.79,1.998,2.192,2.386,2.576,2.758,2.942,3.122,3.304,3.48,3.662,3.848,4.046,4617,190,70,L,R
"DeShields, Delino",0.5416666667,0.8266666667,1.071666667,1.3,1.515,1.716666667,1.906666667,2.088333333,2.27,2.441666667,2.608333333,2.778333333,2.943333333,3.108333333,3.268333333,3.431666667,3.596666667,3.775,4620,170,73,L,R
"DeShields, Delino",0.5416666667,0.8266666667,1.071666667,1.3,1.515,1.716666667,1.906666667,2.088333333,2.27,2.441666667,2.608333333,2.778333333,2.943333333,3.108333333,3.268333333,3.431666667,3.596666667,3.775,4621,190,69,R,R
"Desmond, Ian",0.54,0.834,1.092,1.332,1.556,1.77,1.97,2.166,2.352,2.538,2.718,2.894,3.072,3.246,3.418,3.592,3.764,3.942,4625,217,75,R,R
"Devers, Rafael",0.55,0.8585714286,1.125714286,1.368571429,1.594285714,1.805714286,2.01,2.207142857,2.398571429,2.585714286,2.77,2.954285714,3.131428571,3.312857143,3.491428571,3.678571429,3.87,4.07,4643,240,72,L,R
"Diaz, Jordan",0.575,0.915,1.2,1.455,1.69,1.91,2.125,2.33,2.53,2.72,2.915,3.105,3.29,3.48,3.67,3.86,4.055,4.26,4688,175,70,R,R
"Diaz, Yainer",0.56,0.88,1.15,1.39,1.61,1.82,2.02,2.22,2.41,2.59,2.77,2.95,3.13,3.31,3.48,3.66,3.83,4.01,4700,195,72,R,R
"Dickerson, Alex",0.5475,0.86,1.1275,1.375,1.6025,1.8175,2.025,2.2225,2.415,2.605,2.7925,2.975,3.155,3.335,3.5175,3.7,3.8825,4.0725,4705,226,74,L,L
"Dickerson, Corey",0.5433333333,0.8444444444,1.103333333,1.344444444,1.57,1.783333333,1.986666667,2.184444444,2.376666667,2.562222222,2.745555556,2.93,3.111111111,3.288888889,3.466666667,3.647777778,3.838888889,4.036666667,4709,200,73,L,R
"Dietrich, Derek",0.5433333333,0.8383333333,1.101666667,1.343333333,1.573333333,1.793333333,1.998333333,2.193333333,2.39,2.578333333,2.763333333,2.946666667,3.126666667,3.31,3.49,3.668333333,3.853333333,4.045,4733,205,74,L,R
"Difo, Wilmer",0.55,0.8457142857,1.1,1.334285714,1.552857143,1.758571429,1.955714286,2.144285714,2.325714286,2.505714286,2.685714286,2.86,3.031428571,3.202857143,3.372857143,3.541428571,3.717142857,3.902857143,4740,200,71,B,R
"Dixon, Brandon",0.55,0.8533333333,1.116666667,1.35,1.57,1.78,1.976666667,2.166666667,2.35,2.53,2.71,2.886666667,3.06,3.23,3.403333333,3.57,3.74,3.913333333,4788,215,74,R,R
"Donaldson, Josh",0.5588888889,0.8755555556,1.146666667,1.398888889,1.633333333,1.856666667,2.066666667,2.274444444,2.473333333,2.667777778,2.86,3.052222222,3.24,3.426666667,3.615555556,3.804444444,3.998888889,4.197777778,4851,210,73,R,R
"Donovan, Brendan",0.54,0.85,1.12,1.36,1.58,1.79,2,2.195,2.39,2.57,2.76,2.94,3.12,3.3,3.48,3.655,3.845,4.035,4871,195,73,L,R
"Dozier, Brian",0.54,0.834,1.092,1.334,1.562,1.778,1.98,2.178,2.368,2.552,2.74,2.92,3.1,3.28,3.456,3.632,3.812,4.004,4964,200,71,R,R
"Dozier, Hunter",0.555,0.8716666667,1.136666667,1.38,1.601666667,1.815,2.018333333,2.213333333,2.403333333,2.591666667,2.771666667,2.951666667,3.13,3.305,3.481666667,3.653333333,3.828333333,4.006666667,4967,220,76,R,R
