player_id,player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,body_fat_pct,drafted
1628988.0,Aaron Holiday,2018.0,2018,23.0,PG,71.75,187.0,79.5,97.0,25.5,33.0,,10.96,3.27,3.22,8.75,8.5,6.4,True
2072.0,Michael Redd,2000.0,2000,43.0,SG-SF,76.75,214.0,81.0,102.0,27.0,31.0,12.0,12.06,3.34,,,,,True
203082.0,Terrence Ross,2012.0,2012,8.0,SG-SF,78.0,196.6,79.25,100.5,31.0,37.5,2.0,11.78,3.2800000000000002,,8.75,10.25,3.2,True
12096.0,Hollis Price,,2003,,PG-SG,71.5,165.0,76.5,94.5,27.5,33.0,1.0,10.719999999999999,3.25,,,,7.3,False
12317.0,Charles Garcia,,2010,,SF,80.25,231.6,85.75,107.5,24.5,30.5,2.0,11.65,3.23,,8.75,9.0,7.0,False
2249.0,Jamison Brewer,2001.0,2001,40.0,PG,74.5,178.0,80.75,102.5,26.0,32.5,12.0,9.65,3.15,,,,6.7,True
12210.0,Zabian Dowdell,,2007,,PG,73.0,191.0,82.0,100.0,30.0,33.5,3.0,11.129999999999999,3.29,,,,5.1,False
201573.0,Jerryd Bayless,2008.0,2008,11.0,PG-SG,73.75,204.0,75.5,97.0,31.0,38.0,10.0,11.26,3.07,,,,4.7,True
12156.0,Nate James,,2001,,SF,76.75,196.0,82.75,103.0,26.0,31.0,23.0,11.42,3.3099999999999996,,,,6.0,False
1630208.0,Nick Richards,2020.0,2020,42.0,C,82.5,241.6,86.25,110.0,30.0,34.0,,11.42,3.25,2.92,9.0,9.0,8.5,True
2733.0,Shaun Livingston,2004.0,2004,4.0,PG-SG,78.25,186.0,83.0,105.5,26.5,30.0,,10.719999999999999,3.23,,,,6.7,True
12114.0,David Lucas,,2005,,PF,78.5,233.4,84.0,103.5,,,17.0,,,,,,,False
12234.0,Kyle Visser,,2007,,C,82.0,242.0,83.0,108.0,26.0,29.0,18.0,12.6,3.3899999999999997,,,,10.2,False
201858.0,Cartier Martin,,2007,,SF,76.0,218.0,82.0,103.5,27.0,29.5,11.0,12.1,3.4299999999999997,,,,5.6,False
201185.0,Jared Jordan,2007.0,2007,45.0,PG,72.0,183.0,72.0,94.0,24.5,28.5,6.0,11.02,3.3899999999999997,,,,7.0,True
201153.0,Julian Wright,2007.0,2007,13.0,SF-PF,78.5,211.0,86.25,108.0,28.5,33.5,2.0,11.48,3.36,,,,6.1,True
1628974.0,Tony Carr,2018.0,2018,51.0,PG,75.0,198.8,80.25,100.0,25.0,31.5,0.0,11.89,3.17,3.4,8.5,9.75,6.5,True
1629676.0,Isaiah Roby,2019.0,2019,45.0,PF,79.25,214.0,85.0,106.0,32.5,35.5,9.0,10.629999999999999,3.25,3.05,9.0,10.5,3.9,True
